accession,description,length,masked Ns,masked Ns %,vsl-25 Ns,vsl-25 Ns %,masked vsl-25 Ns,masked vsl-25 Ns %,c1-25 Ns,c1-25 Ns %,masked c1-25 Ns,masked c1-25 Ns %,c2-25 Ns,c2-25 Ns %,masked c2-25 Ns,masked c2-25 Ns %,c3-25 Ns,c3-25 Ns %,masked c3-25 Ns,masked c3-25 Ns %,c4-25 Ns,c4-25 Ns %,masked c4-25 Ns,masked c4-25 Ns %,c5-25 Ns,c5-25 Ns %,masked c5-25 Ns,masked c5-25 Ns %,c6-25 Ns,c6-25 Ns %,masked c6-25 Ns,masked c6-25 Ns %,c7-25 Ns,c7-25 Ns %,masked c7-25 Ns,masked c7-25 Ns %,c8-25 Ns,c8-25 Ns %,masked c8-25 Ns,masked c8-25 Ns %,c9-25 Ns,c9-25 Ns %,masked c9-25 Ns,masked c9-25 Ns %,c10-25 Ns,c10-25 Ns %,masked c10-25 Ns,masked c10-25 Ns %,c11-25 Ns,c11-25 Ns %,masked c11-25 Ns,masked c11-25 Ns %,c12-25 Ns,c12-25 Ns %,masked c12-25 Ns,masked c12-25 Ns %
NC_007825.1,Coliphage ID52  complete genome,5538,37,.66,0,0,37,.66,49,.88,86,1.55,0,0,37,.66,0,0,37,.66,0,0,37,.66,0,0,37,.66,0,0,37,.66,0,0,37,.66,49,.88,86,1.55,0,0,37,.66,0,0,37,.66,0,0,37,.66,49,.88,86,1.55
NC_007827.1,Coliphage NC29  complete genome,6259,0,0,0,0,0,0,49,.78,0,0,49,.78,0,0,49,.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,1.56,0,0
NC_008188.1,Human papillomavirus type 103  complete genome,7263,33,.45,49,.67,33,.45,196,2.69,180,2.47,49,.67,82,1.12,0,0,33,.45,0,0,33,.45,49,.67,33,.45,0,0,33,.45,0,0,33,.45,147,2.02,131,1.80,0,0,33,.45,49,.67,33,.45,49,.67,33,.45,0,0,33,.45
NC_008189.1,Human papillomavirus type 101  complete genome,7259,24,.33,0,0,24,.33,196,2.70,220,3.03,49,.67,73,1.00,49,.67,73,1.00,0,0,24,.33,0,0,24,.33,0,0,24,.33,0,0,24,.33,196,2.70,220,3.03,0,0,24,.33,0,0,24,.33,0,0,24,.33,49,.67,73,1.00
NC_008250.2,Duck hepatitis A virus 1 strain R85952  complete genome,7711,21,.27,49,.63,21,.27,147,1.90,119,1.54,49,.63,21,.27,0,0,21,.27,0,0,21,.27,98,1.27,70,.90,0,0,21,.27,0,0,21,.27,147,1.90,119,1.54,0,0,21,.27,98,1.27,70,.90,98,1.27,70,.90,98,1.27,119,1.54
NC_009015.1,Burkholderia ambifaria phage BcepF1  complete genome,72415,187,.25,0,0,187,.25,49,.06,236,.32,0,0,187,.25,0,0,187,.25,0,0,187,.25,0,0,187,.25,0,0,187,.25,0,0,187,.25,49,.06,236,.32,0,0,187,.25,0,0,187,.25,0,0,187,.25,368,.50,555,.76
NC_009019.1,Tylonycteris bat coronavirus HKU4  complete genome,30286,19,.06,49,.16,19,.06,613,2.02,583,1.92,196,.64,215,.70,245,.80,264,.87,0,0,19,.06,49,.16,19,.06,0,0,19,.06,0,0,19,.06,613,2.02,583,1.92,0,0,19,.06,49,.16,19,.06,49,.16,19,.06,98,.32,117,.38
NC_009020.1,Pipistrellus bat coronavirus HKU5  complete genome,30482,0,0,49,.16,0,0,196,.64,0,0,98,.32,0,0,98,.32,0,0,49,.16,0,0,49,.16,0,0,0,0,0,0,0,0,0,0,196,.64,0,0,0,0,0,0,49,.16,0,0,49,.16,0,0,417,1.36,0,0
NC_009021.1,Rousettus bat coronavirus HKU9  complete genome,29114,40,.13,49,.16,89,.30,417,1.43,408,1.40,270,.92,261,.89,172,.59,212,.72,0,0,40,.13,49,.16,89,.30,0,0,40,.13,0,0,40,.13,442,1.51,433,1.48,0,0,40,.13,49,.16,89,.30,49,.16,89,.30,393,1.34,433,1.48
NC_009232.2,Salmonella phage SETP3  complete genome,42572,36,.08,0,0,36,.08,196,.46,232,.54,196,.46,232,.54,196,.46,232,.54,0,0,36,.08,0,0,36,.08,0,0,36,.08,0,0,36,.08,196,.46,232,.54,0,0,36,.08,0,0,36,.08,0,0,36,.08,196,.46,232,.54
NC_009234.1,Burkholderia phage phiE202 chromosome  complete genome,35741,402,1.12,0,0,402,1.12,0,0,402,1.12,0,0,402,1.12,0,0,402,1.12,0,0,402,1.12,0,0,402,1.12,0,0,402,1.12,0,0,402,1.12,0,0,402,1.12,0,0,402,1.12,0,0,402,1.12,0,0,402,1.12,246,.68,648,1.81
NC_009235.2,Burkholderia phage phi644-2 chromosome  complete genome,48674,111,.22,0,0,111,.22,295,.60,357,.73,246,.50,308,.63,246,.50,308,.63,0,0,111,.22,0,0,111,.22,0,0,111,.22,49,.10,160,.32,295,.60,357,.73,0,0,111,.22,0,0,111,.22,0,0,111,.22,344,.70,455,.93
NC_009236.1,Burkholderia phage phiE12-2 chromosome  complete genome,36690,363,.98,0,0,363,.98,0,0,363,.98,0,0,363,.98,0,0,363,.98,0,0,363,.98,0,0,363,.98,0,0,363,.98,0,0,363,.98,0,0,363,.98,0,0,363,.98,0,0,363,.98,0,0,363,.98,49,.13,412,1.12
NC_009237.1,Burkholderia phage phiE255 chromosome  complete genome,37446,290,.77,0,0,290,.77,0,0,290,.77,0,0,290,.77,0,0,290,.77,0,0,290,.77,0,0,290,.77,0,0,290,.77,0,0,290,.77,0,0,290,.77,0,0,290,.77,0,0,290,.77,0,0,290,.77,98,.26,388,1.03
NC_009333.1,Human herpesvirus 8 strain GK18  complete genome,137969,357,.25,568,.41,876,.63,1945,1.40,2007,1.45,838,.60,1146,.83,813,.58,1170,.84,273,.19,630,.45,519,.37,827,.59,123,.08,480,.34,271,.19,628,.45,1971,1.42,2082,1.50,49,.03,406,.29,617,.44,876,.63,568,.41,876,.63,1793,1.29,2150,1.55
NC_009334.1,Human herpesvirus 4  complete genome,172764,1365,.79,473,.27,1838,1.06,2608,1.50,3648,2.11,1079,.62,2242,1.29,809,.46,2169,1.25,49,.02,1414,.81,547,.31,1863,1.07,0,0,1365,.79,98,.05,1414,.81,2608,1.50,3648,2.11,0,0,1365,.79,498,.28,1863,1.07,498,.28,1863,1.07,3286,1.90,4455,2.57
NC_009447.1,Burkholderia phage BcepGomr  complete genome,52414,147,.28,0,0,147,.28,147,.28,294,.56,49,.09,196,.37,98,.18,245,.46,0,0,147,.28,0,0,147,.28,0,0,147,.28,0,0,147,.28,147,.28,294,.56,0,0,147,.28,0,0,147,.28,0,0,147,.28,148,.28,295,.56
NC_009604.1,Burkholderia phage BcepNY3  complete genome,47382,545,1.15,0,0,545,1.15,49,.10,594,1.25,49,.10,594,1.25,49,.10,594,1.25,0,0,545,1.15,0,0,545,1.15,0,0,545,1.15,0,0,545,1.15,49,.10,594,1.25,0,0,545,1.15,0,0,545,1.15,0,0,545,1.15,98,.20,643,1.35
NC_009657.1,Scotophilus bat coronavirus 512  complete genome,28203,110,.39,74,.26,110,.39,393,1.39,429,1.52,221,.78,257,.91,197,.69,233,.82,49,.17,110,.39,74,.26,110,.39,49,.17,110,.39,74,.26,110,.39,393,1.39,429,1.52,49,.17,110,.39,74,.26,110,.39,74,.26,110,.39,442,1.56,478,1.69
NC_009823.1,Hepatitis C virus genotype 2  complete genome,9711,166,1.70,149,1.53,166,1.70,223,2.29,240,2.47,247,2.54,289,2.97,222,2.28,289,2.97,99,1.01,166,1.70,149,1.53,166,1.70,99,1.01,166,1.70,99,1.01,166,1.70,223,2.29,240,2.47,99,1.01,166,1.70,149,1.53,166,1.70,149,1.53,166,1.70,222,2.28,264,2.71
NC_009827.1,Hepatitis C virus genotype 6  complete genome,9628,63,.65,124,1.28,63,.65,124,1.28,63,.65,74,.76,63,.65,74,.76,63,.65,74,.76,63,.65,99,1.02,63,.65,74,.76,63,.65,74,.76,63,.65,99,1.02,63,.65,74,.76,63,.65,124,1.28,63,.65,124,1.28,63,.65,123,1.27,112,1.16
NC_009988.1,Bat coronavirus HKU2  complete genome,27165,0,0,0,0,0,0,196,.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,.18,0,0
NC_010329.1,Human papillomavirus type 88  complete genome,7326,0,0,0,0,0,0,98,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,1.33,0,0
NC_010391.1,Salmonella phage Fels-1  complete genome,42723,97,.22,0,0,97,.22,466,1.09,563,1.31,270,.63,367,.85,172,.40,269,.62,0,0,97,.22,0,0,97,.22,0,0,97,.22,0,0,97,.22,466,1.09,563,1.31,0,0,97,.22,0,0,97,.22,0,0,97,.22,687,1.60,784,1.83
NC_010437.1,Bat coronavirus 1A  complete genome,28326,57,.20,49,.17,57,.20,368,1.29,351,1.23,196,.69,204,.72,147,.51,155,.54,49,.17,57,.20,49,.17,57,.20,0,0,57,.20,49,.17,57,.20,319,1.12,302,1.06,0,0,57,.20,49,.17,57,.20,49,.17,57,.20,834,2.94,842,2.97
NC_010438.1,Bat coronavirus HKU8  complete genome,28773,0,0,0,0,0,0,467,1.62,0,0,172,.59,0,0,172,.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,.51,0,0
NC_010495.1,Salmonella phage E1  complete genome,45051,159,.35,0,0,159,.35,490,1.08,600,1.33,245,.54,404,.89,98,.21,257,.57,0,0,159,.35,0,0,159,.35,0,0,159,.35,0,0,159,.35,490,1.08,600,1.33,0,0,159,.35,0,0,159,.35,0,0,159,.35,172,.38,282,.62
NC_010646.1,Beluga Whale coronavirus SW1  complete genome,31686,129,.40,123,.38,129,.40,368,1.16,374,1.18,196,.61,227,.71,98,.30,178,.56,49,.15,129,.40,123,.38,129,.40,49,.15,129,.40,49,.15,129,.40,368,1.16,374,1.18,49,.15,129,.40,123,.38,129,.40,123,.38,129,.40,294,.92,374,1.18
NC_010800.1,Turkey coronavirus  complete genome,27657,136,.49,74,.26,136,.49,417,1.50,479,1.73,245,.88,332,1.20,98,.35,185,.66,49,.17,136,.49,74,.26,136,.49,49,.17,136,.49,98,.35,185,.66,417,1.50,479,1.73,49,.17,136,.49,74,.26,136,.49,74,.26,136,.49,343,1.24,430,1.55
NC_010807.1,Salmonella phage phiSG-JL2  complete genome,38815,0,0,0,0,0,0,246,.63,0,0,221,.56,0,0,196,.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,.63,0,0
NC_011216.1,Burkholderia phage KS10  complete genome,37635,185,.49,0,0,185,.49,0,0,185,.49,0,0,185,.49,0,0,185,.49,0,0,185,.49,0,0,185,.49,0,0,185,.49,0,0,185,.49,0,0,185,.49,0,0,185,.49,0,0,185,.49,0,0,185,.49,49,.13,234,.62
NC_011547.1,Bulbul coronavirus HKU11-934  complete genome,26487,66,.24,49,.18,115,.43,368,1.38,434,1.63,245,.92,311,1.17,147,.55,213,.80,0,0,66,.24,49,.18,115,.43,0,0,66,.24,0,0,66,.24,368,1.38,434,1.63,0,0,66,.24,49,.18,115,.43,49,.18,115,.43,515,1.94,581,2.19
NC_011549.1,Thrush coronavirus HKU12-600  complete genome,26396,97,.36,49,.18,146,.55,614,2.32,662,2.50,270,1.02,367,1.39,196,.74,293,1.11,0,0,97,.36,49,.18,146,.55,0,0,97,.36,0,0,97,.36,663,2.51,711,2.69,0,0,97,.36,49,.18,146,.55,49,.18,146,.55,294,1.11,391,1.48
NC_011550.1,Munia coronavirus HKU13-3514  complete genome,26552,0,0,49,.18,0,0,343,1.29,0,0,196,.73,0,0,147,.55,0,0,0,0,0,0,49,.18,0,0,0,0,0,0,0,0,0,0,343,1.29,0,0,0,0,0,0,49,.18,0,0,49,.18,0,0,245,.92,0,0
NC_011802.1,Salmonella enterica bacteriophage SE1  complete genome,41941,98,.23,0,0,98,.23,418,.99,516,1.23,147,.35,245,.58,49,.11,147,.35,0,0,98,.23,0,0,98,.23,0,0,98,.23,0,0,98,.23,418,.99,516,1.23,0,0,98,.23,0,0,98,.23,0,0,98,.23,245,.58,343,.81
NC_011976.1,Salmonella phage epsilon34  complete genome,43016,79,.18,0,0,79,.18,809,1.88,888,2.06,270,.62,349,.81,245,.56,324,.75,0,0,79,.18,0,0,79,.18,0,0,79,.18,49,.11,128,.29,760,1.76,839,1.95,0,0,79,.18,0,0,79,.18,0,0,79,.18,664,1.54,743,1.72
NC_012213.1,Human papillomavirus type 108  complete genome,7149,0,0,0,0,0,0,147,2.05,0,0,49,.68,0,0,49,.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,.68,0,0
NC_012485.1,Human papillomavirus type 109  complete genome,7346,69,.93,0,0,69,.93,246,3.34,241,3.28,98,1.33,167,2.27,74,1.00,143,1.94,0,0,69,.93,0,0,69,.93,0,0,69,.93,0,0,69,.93,246,3.34,241,3.28,0,0,69,.93,0,0,69,.93,0,0,69,.93,0,0,69,.93
NC_012486.1,Human papillomavirus type 112  complete genome,7227,0,0,0,0,0,0,172,2.37,0,0,49,.67,0,0,49,.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,2.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,2.37,0,0
NC_012743.2,Burkholderia phage BcepIL02  complete genome,62715,693,1.10,0,0,693,1.10,49,.07,742,1.18,49,.07,742,1.18,0,0,693,1.10,0,0,693,1.10,0,0,693,1.10,0,0,693,1.10,0,0,693,1.10,49,.07,742,1.18,0,0,693,1.10,0,0,693,1.10,0,0,693,1.10,491,.78,1184,1.88
NC_012936.1,Rat coronavirus Parker  complete genome,31250,62,.19,49,.15,111,.35,564,1.80,626,2.00,221,.70,283,.90,196,.62,258,.82,0,0,62,.19,49,.15,111,.35,0,0,62,.19,0,0,62,.19,564,1.80,626,2.00,0,0,62,.19,49,.15,111,.35,49,.15,111,.35,368,1.17,430,1.37
NC_013035.1,Human papillomavirus 116  complete genome,7184,0,0,0,0,0,0,221,3.07,0,0,123,1.71,0,0,123,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,3.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,2.04,0,0
NC_013055.1,Burkholderia phage KS9  complete genome,39896,48,.12,0,0,48,.12,0,0,48,.12,0,0,48,.12,0,0,48,.12,0,0,48,.12,0,0,48,.12,0,0,48,.12,0,0,48,.12,0,0,48,.12,0,0,48,.12,0,0,48,.12,0,0,48,.12,245,.61,293,.73
NC_013059.1,Salmonella phage c341  complete genome,40975,0,0,0,0,0,0,637,1.55,0,0,245,.59,0,0,245,.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,.23,0,0,613,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539,1.31,0,0
NC_014185.1,Human papillomavirus type 121  complete genome,7342,30,.40,0,0,30,.40,148,2.01,178,2.42,49,.66,79,1.07,49,.66,79,1.07,0,0,30,.40,0,0,30,.40,0,0,30,.40,0,0,30,.40,147,2.00,177,2.41,0,0,30,.40,0,0,30,.40,0,0,30,.40,49,.66,79,1.07
NC_014470.1,Bat coronavirus BM48-31 BGR 2008  complete genome,29276,22,.07,74,.25,22,.07,491,1.67,439,1.49,98,.33,71,.24,147,.50,120,.40,49,.16,22,.07,74,.25,22,.07,49,.16,22,.07,98,.33,71,.24,491,1.67,439,1.49,49,.16,22,.07,74,.25,22,.07,74,.25,22,.07,539,1.84,512,1.74
NC_014900.1,Salmonella phage ST160  complete genome,40986,98,.23,0,0,98,.23,417,1.01,515,1.25,98,.23,196,.47,49,.11,147,.35,0,0,98,.23,0,0,98,.23,0,0,98,.23,0,0,98,.23,417,1.01,515,1.25,0,0,98,.23,0,0,98,.23,0,0,98,.23,343,.83,441,1.07
NC_014952.1,Human papillomavirus type 128  complete genome,7259,0,0,0,0,0,0,172,2.36,0,0,49,.67,0,0,49,.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,2.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,1.35,0,0
NC_014953.1,Human papillomavirus type 129  complete genome,7219,59,.81,0,0,59,.81,147,2.03,206,2.85,49,.67,108,1.49,49,.67,108,1.49,0,0,59,.81,0,0,59,.81,0,0,59,.81,0,0,59,.81,147,2.03,206,2.85,0,0,59,.81,0,0,59,.81,0,0,59,.81,123,1.70,182,2.52
NC_014954.1,Human papillomavirus type 131  complete genome,7182,0,0,0,0,0,0,245,3.41,0,0,98,1.36,0,0,49,.68,0,0,49,.68,0,0,49,.68,0,0,0,0,0,0,0,0,0,0,245,3.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,.68,0,0
NC_014955.1,Human papillomavirus type 132  complete genome,7125,0,0,0,0,0,0,419,5.88,0,0,147,2.06,0,0,147,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,.68,0,0
NC_014956.1,Human papillomavirus type 134  complete genome,7309,0,0,0,0,0,0,294,4.02,0,0,98,1.34,0,0,98,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,4.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC_015265.1,Burkholderia phage KS5  complete genome,37236,412,1.10,0,0,412,1.10,49,.13,461,1.23,0,0,412,1.10,0,0,412,1.10,0,0,412,1.10,0,0,412,1.10,0,0,412,1.10,0,0,412,1.10,49,.13,461,1.23,0,0,412,1.10,0,0,412,1.10,0,0,412,1.10,221,.59,633,1.69
NC_015266.1,Burkholderia phage KL3  complete genome,40555,536,1.32,0,0,536,1.32,0,0,536,1.32,0,0,536,1.32,0,0,536,1.32,0,0,536,1.32,0,0,536,1.32,0,0,536,1.32,0,0,536,1.32,0,0,536,1.32,0,0,536,1.32,0,0,536,1.32,0,0,536,1.32,221,.54,757,1.86
NC_015273.1,Burkholderia phage KS14  complete genome,32317,521,1.61,0,0,521,1.61,49,.15,570,1.76,49,.15,570,1.76,0,0,521,1.61,0,0,521,1.61,0,0,521,1.61,0,0,521,1.61,0,0,521,1.61,49,.15,570,1.76,0,0,521,1.61,0,0,521,1.61,0,0,521,1.61,221,.68,742,2.29
NC_015296.1,Salmonella phage Vi01  complete genome,157061,268,.17,0,0,268,.17,1423,.90,1691,1.07,515,.32,783,.49,564,.35,832,.52,0,0,268,.17,0,0,268,.17,0,0,268,.17,49,.03,317,.20,1521,.96,1789,1.13,0,0,268,.17,0,0,268,.17,0,0,268,.17,588,.37,856,.54
NC_015938.1,Salmonella phage 7-11  complete genome,89916,465,.51,49,.05,514,.57,834,.92,1299,1.44,417,.46,882,.98,270,.30,735,.81,49,.05,514,.57,49,.05,514,.57,0,0,465,.51,0,0,465,.51,883,.98,1348,1.49,0,0,465,.51,49,.05,514,.57,49,.05,514,.57,343,.38,808,.89
NC_016071.1,Salmonella phage PVP-SE1  complete genome,145964,603,.41,0,0,603,.41,1252,.85,1732,1.18,369,.25,972,.66,442,.30,1045,.71,0,0,603,.41,0,0,603,.41,0,0,603,.41,0,0,603,.41,1252,.85,1732,1.18,0,0,603,.41,0,0,603,.41,0,0,603,.41,1177,.80,1731,1.18
NC_016073.1,Salmonella phage SFP10  complete genome,157950,379,.23,74,.04,379,.23,1425,.90,1729,1.09,590,.37,894,.56,516,.32,845,.53,49,.03,379,.23,74,.04,379,.23,0,0,379,.23,49,.03,379,.23,1474,.93,1778,1.12,0,0,379,.23,74,.04,379,.23,74,.04,379,.23,1152,.72,1457,.92
NC_016157.1,Human papillomavirus type 126  complete genome,7326,0,0,0,0,0,0,173,2.36,0,0,49,.66,0,0,49,.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,2.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,.66,0,0
NC_016561.1,Parrot hepatitis B virus  complete genome,3048,25,.82,49,1.60,25,.82,49,1.60,25,.82,0,0,25,.82,0,0,25,.82,0,0,25,.82,49,1.60,25,.82,0,0,25,.82,0,0,25,.82,49,1.60,25,.82,0,0,25,.82,49,1.60,25,.82,49,1.60,25,.82,49,1.60,74,2.42
NC_016761.1,Salmonella phage SPN1S  complete genome,38684,109,.28,0,0,109,.28,245,.63,354,.91,49,.12,158,.40,98,.25,207,.53,0,0,109,.28,0,0,109,.28,0,0,109,.28,0,0,109,.28,245,.63,354,.91,0,0,109,.28,0,0,109,.28,0,0,109,.28,172,.44,281,.72
NC_016763.1,Salmonella phage SE2  complete genome,43221,75,.17,0,0,75,.17,319,.73,394,.91,172,.39,247,.57,172,.39,247,.57,0,0,75,.17,0,0,75,.17,0,0,75,.17,0,0,75,.17,368,.85,443,1.02,0,0,75,.17,0,0,75,.17,0,0,75,.17,123,.28,198,.45
NC_016991.1,White-eye coronavirus HKU16  complete genome,26041,99,.38,49,.18,148,.56,344,1.32,369,1.41,98,.37,197,.75,147,.56,246,.94,49,.18,148,.56,49,.18,148,.56,0,0,99,.38,0,0,99,.38,344,1.32,369,1.41,0,0,99,.38,49,.18,148,.56,49,.18,148,.56,343,1.31,442,1.69
NC_016992.1,Sparrow coronavirus HKU17  complete genome,26083,59,.22,49,.18,108,.41,147,.56,206,.78,98,.37,157,.60,49,.18,108,.41,0,0,59,.22,49,.18,108,.41,0,0,59,.22,0,0,59,.22,147,.56,206,.78,0,0,59,.22,49,.18,108,.41,49,.18,108,.41,49,.18,108,.41
NC_016993.1,Magpie-robin coronavirus HKU18  complete genome,26689,85,.31,49,.18,85,.31,466,1.74,477,1.78,98,.36,183,.68,98,.36,183,.68,0,0,85,.31,49,.18,85,.31,0,0,85,.31,0,0,85,.31,466,1.74,477,1.78,0,0,85,.31,49,.18,85,.31,49,.18,85,.31,368,1.37,453,1.69
NC_016994.1,Night-heron coronavirus HKU19  complete genome,26077,82,.31,0,0,82,.31,441,1.69,523,2.00,196,.75,278,1.06,196,.75,278,1.06,0,0,82,.31,0,0,82,.31,0,0,82,.31,49,.18,131,.50,441,1.69,523,2.00,0,0,82,.31,0,0,82,.31,0,0,82,.31,147,.56,229,.87
NC_016995.1,Wigeon coronavirus HKU20  complete genome,26227,224,.85,49,.18,273,1.04,417,1.58,567,2.16,196,.74,420,1.60,196,.74,371,1.41,49,.18,273,1.04,49,.18,273,1.04,49,.18,273,1.04,49,.18,273,1.04,417,1.58,567,2.16,49,.18,273,1.04,49,.18,273,1.04,49,.18,273,1.04,294,1.12,518,1.97
NC_016996.1,Common-moorhen coronavirus HKU21  complete genome,26223,146,.55,49,.18,195,.74,687,2.61,784,2.98,294,1.12,391,1.49,245,.93,391,1.49,0,0,146,.55,49,.18,195,.74,0,0,146,.55,0,0,146,.55,736,2.80,833,3.17,0,0,146,.55,49,.18,195,.74,49,.18,195,.74,294,1.12,391,1.49
NC_017083.1,Rabbit coronavirus HKU14  complete genome,31100,0,0,0,0,0,0,564,1.81,0,0,245,.78,0,0,196,.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,1.10,0,0
NC_017985.1,Salmonella phage SPN9CC  complete genome,40128,79,.19,49,.12,128,.31,540,1.34,619,1.54,172,.42,251,.62,172,.42,251,.62,49,.12,128,.31,49,.12,128,.31,0,0,79,.19,0,0,79,.19,540,1.34,619,1.54,0,0,79,.19,49,.12,128,.31,49,.12,128,.31,294,.73,373,.92
NC_017993.1,Human papillomavirus type 135  complete genome,7293,114,1.56,0,0,114,1.56,49,.67,163,2.23,49,.67,163,2.23,0,0,114,1.56,0,0,114,1.56,0,0,114,1.56,0,0,114,1.56,0,0,114,1.56,49,.67,163,2.23,0,0,114,1.56,0,0,114,1.56,0,0,114,1.56,49,.67,163,2.23
NC_017994.1,Human papillomavirus type 136  complete genome,7319,62,.84,0,0,62,.84,98,1.33,160,2.18,49,.66,111,1.51,49,.66,111,1.51,0,0,62,.84,0,0,62,.84,0,0,62,.84,0,0,62,.84,98,1.33,160,2.18,0,0,62,.84,0,0,62,.84,0,0,62,.84,98,1.33,160,2.18
NC_017995.1,Human papillomavirus type 137  complete genome,7236,23,.31,0,0,23,.31,98,1.35,121,1.67,49,.67,72,.99,98,1.35,121,1.67,0,0,23,.31,0,0,23,.31,0,0,23,.31,0,0,23,.31,98,1.35,121,1.67,0,0,23,.31,0,0,23,.31,0,0,23,.31,49,.67,72,.99
NC_017996.1,Human papillomavirus type 140  complete genome,7341,58,.79,0,0,58,.79,49,.66,107,1.45,0,0,58,.79,0,0,58,.79,0,0,58,.79,0,0,58,.79,0,0,58,.79,0,0,58,.79,49,.66,107,1.45,0,0,58,.79,0,0,58,.79,0,0,58,.79,0,0,58,.79
NC_017997.1,Human papillomavirus type 144  complete genome,7271,0,0,0,0,0,0,147,2.02,0,0,49,.67,0,0,49,.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,.67,0,0
NC_018275.1,Salmonella phage vB SemP Emek  complete genome,39783,88,.22,0,0,88,.22,270,.67,358,.89,0,0,88,.22,0,0,88,.22,0,0,88,.22,0,0,88,.22,0,0,88,.22,0,0,88,.22,294,.73,382,.96,0,0,88,.22,0,0,88,.22,0,0,88,.22,319,.80,407,1.02
NC_018278.1,Burkholderia phage KL1  complete genome,42832,262,.61,49,.11,262,.61,172,.40,360,.84,49,.11,311,.72,49,.11,311,.72,0,0,262,.61,0,0,262,.61,0,0,262,.61,0,0,262,.61,172,.40,360,.84,0,0,262,.61,49,.11,262,.61,49,.11,262,.61,98,.22,360,.84
NC_018279.1,Salmonella phage vB SosS Oslo  complete genome,49116,0,0,0,0,0,0,196,.39,0,0,49,.09,0,0,98,.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,.44,0,0
NC_018283.1,Burkholderia phage AH2  complete genome,58065,536,.92,0,0,536,.92,98,.16,585,1.00,98,.16,585,1.00,98,.16,585,1.00,0,0,536,.92,0,0,536,.92,0,0,536,.92,49,.08,536,.92,98,.16,585,1.00,0,0,536,.92,0,0,536,.92,0,0,536,.92,417,.71,904,1.55
NC_018452.1,Burkholderia phage DC1  complete genome,61847,918,1.48,0,0,918,1.48,147,.23,1016,1.64,98,.15,1016,1.64,49,.07,967,1.56,0,0,918,1.48,0,0,918,1.48,0,0,918,1.48,0,0,918,1.48,147,.23,1016,1.64,0,0,918,1.48,0,0,918,1.48,0,0,918,1.48,417,.67,1286,2.07
NC_018843.1,Salmonella phage SSU5  complete genome,103299,262,.25,0,0,262,.25,810,.78,998,.96,343,.33,556,.53,319,.30,507,.49,0,0,262,.25,0,0,262,.25,0,0,262,.25,0,0,262,.25,810,.78,998,.96,0,0,262,.25,0,0,262,.25,0,0,262,.25,784,.75,1046,1.01
NC_018871.1,Rousettus bat coronavirus HKU10  complete genome,28494,72,.25,0,0,72,.25,564,1.97,636,2.23,196,.68,268,.94,270,.94,342,1.20,0,0,72,.25,0,0,72,.25,0,0,72,.25,49,.17,121,.42,515,1.80,587,2.06,0,0,72,.25,0,0,72,.25,0,0,72,.25,441,1.54,513,1.80
