  ,biospecimen_repository_sample_id,BioSample,Body Site,Paired Raw R1 Read Count,hg38 unaligned Count,RMHM viral aligned Count,RMHM viral q30 l30 EBV Count,RMHM viral q30 l30 EBV Count,RMHM viral q30 l40 EBV Count,RMHM viral q30 l50 EBV Count,RMHM viral q30 l60 EBV Count,Human Virome EBV Count,RMHM viral q30 l30 CMV Count,RMHM viral q30 l40 CMV Count,RMHM viral q30 l50 CMV Count,RMHM viral q30 l60 CMV Count,Human Virome CMV Count,RMHM viral q30 l30 HSV1 Count,RMHM viral q30 l40 HSV1 Count,RMHM viral q30 l50 HSV1 Count,RMHM viral q30 l60 HSV1 Count,Human Virome HSV1 Count,RMHM viral q30 l30 HSV2 Count,RMHM viral q30 l40 HSV2 Count,RMHM viral q30 l50 HSV2 Count,RMHM viral q30 l60 HSV2 Count,Human Virome HSV2 Count
SRR1379450,GTEX-13FLW-0011-R5a-SM-5LZX6,SAMN02787432,Brain - Caudate (basal ganglia),34691844,1078191,45800,,,,,,,,,,,,,,,,,,,,,
SRR1335651,GTEX-13FLW-0011-R6b-SM-5L3EN,SAMN02789813,Brain - Nucleus accumbens (basal ganglia),43601456,896675,45207,,,,,,,,,,,,,,,,,,,,,
SRR1417505,GTEX-13FLW-0011-R7b-SM-5L3EZ,SAMN02790614,Brain - Putamen (basal ganglia),40957303,718010,39808,,,,,,,,,,,,,,,,,,,,,
SRR1316963,GTEX-13FLW-0011-R8b-SM-5J1MZ,SAMN02788391,Brain - Hypothalamus,56989516,1372663,107960,,,,,,,,,,,,,,,,,,,,,
SRR1452292,GTEX-13FLW-1426-SM-5K7YE,SAMN02789756,Brain - Cortex,35972298,563184,47264,,,,,,,,,,,,,,,,,,,,,
SRR1460170,GTEX-13FTY-0011-R11a-SM-5IJEA,SAMN02787803,Brain - Cerebellar Hemisphere,54725804,1798517,124101,,,,,,,,,,,,,,,,,,,,,
SRR1473590,GTEX-13FTY-0011-R1a-SM-5LZXE,SAMN02791752,Brain - Hippocampus,52755730,997350,44861,,,,,,,,,,,,,,,,,,,,,
SRR1429329,GTEX-13FTY-0011-R9b-SM-5KM2U,SAMN02787566,Brain - Spinal cord (cervical c-1),41653171,877495,52065,,,,,,,,,,,,,,,,,,,,,
SRR1418127,GTEX-13FTZ-0011-R10b-SM-5KLZS,SAMN02791220,Brain - Frontal Cortex (BA9),44620660,913645,65809,,,,,,,,,,,,,,,,,,,,,
SRR1474777,GTEX-13FXS-0011-R10a-SM-5J2MA,SAMN02792143,Brain - Frontal Cortex (BA9),56624353,1532130,104699,,,,,,,,,,,,,,,,,,,,,
SRR1327975,GTEX-13FXS-0011-R11a-SM-5L3DM,SAMN02793427,Brain - Cerebellar Hemisphere,41518192,991432,51010,,,,,,,,,,,,,,,,,,,,,
SRR1362888,GTEX-13FXS-0011-R1a-SM-5K7U6,SAMN02791555,Brain - Hippocampus,55259054,1325822,118592,,,,,,,,,,,,,,,,,,,,,
SRR1458180,GTEX-13FXS-0011-R2b-SM-5K7XX,SAMN02792926,Brain - Substantia nigra,56718611,997885,75561,,,,,,,,,,,,,,,,,,,,,
SRR1466850,GTEX-13FXS-0011-R5b-SM-5LZYE,SAMN02790915,Brain - Caudate (basal ganglia),35783287,1109642,44900,,,,,,,,,,,,,,,,,,,,,
SRR1325986,GTEX-13FXS-0011-R6b-SM-5L3F7,SAMN02788597,Brain - Nucleus accumbens (basal ganglia),43009914,819040,44608,,,,,,,,,,,,,,,,,,,,,
SRR1339530,GTEX-13FXS-0011-R7a-SM-5L3FC,SAMN02789625,Brain - Putamen (basal ganglia),41421892,884282,39963,,,,,,,,,,,,,,,,,,,,,
SRR1316921,GTEX-13FXS-0011-R8a-SM-5J1MN,SAMN02791403,Brain - Hypothalamus,53521210,1471275,110999,,,,,,,,,,,,,,,,,,,,,
SRR1486304,GTEX-13FXS-0011-R9a-SM-5K7UI,SAMN02789584,Brain - Spinal cord (cervical c-1),53022690,1403775,103392,,,,,,,,,,,,,,,,,,,,,
SRR1359367,GTEX-13FXS-3026-SM-5LZYO,SAMN02791201,Brain - Cerebellum,34924873,1147481,45962,,,,,,,,,,,,,,,,,,,,,
SRR1470175,GTEX-13FXS-3126-SM-5J2NN,SAMN02790629,Brain - Cortex,55073929,1495964,101042,,,,,,,,,,,,,,,,,,,,,
SRR1318163,GTEX-13G51-0011-R10b-SM-5LZYF,SAMN02793480,Brain - Frontal Cortex (BA9),35838695,1008490,42872,,,,,,,,,,,,,,,,,,,,,
SRR1499442,GTEX-13G51-0011-R11b-SM-5J2NE,SAMN02789956,Brain - Cerebellar Hemisphere,42529070,1525043,89333,,,,,,,,,,,,,,,,,,,,,
SRR1473979,GTEX-13G51-0011-R1a-SM-5LZYR,SAMN02793207,Brain - Hippocampus,35533796,1069757,43304,,,,,,,,,,,,,,,,,,,,,
SRR1430570,GTEX-13G51-0011-R2b-SM-5LZXS,SAMN02790754,Brain - Substantia nigra,32714074,834611,38445,,,,,,,,,,,,,,,,,,,,,
SRR1478077,GTEX-13G51-0011-R5a-SM-5L3EB,SAMN02787369,Brain - Caudate (basal ganglia),42062746,1505293,45690,,,,,,,,,,,,,,,,,,,,,
SRR1324431,GTEX-13G51-0011-R6b-SM-5LZX4,SAMN02789402,Brain - Nucleus accumbens (basal ganglia),34340499,1028335,46551,,,,,,,,,,,,,,,,,,,,,
SRR1471435,GTEX-13G51-0011-R7b-SM-5LZXG,SAMN02789263,Brain - Putamen (basal ganglia),36212103,985957,44032,,,,,,,,,,,,,,,,,,,,,
SRR1443713,GTEX-13G51-0011-R8b-SM-5LZZ4,SAMN02790948,Brain - Hypothalamus,236594898,7025098,290821,,,,,,,,,,,,,,,,,,,,,
SRR1478768,GTEX-13G51-3026-SM-5IJB8,SAMN02788975,Brain - Cortex,46568962,942935,43080,,,,,,,,,,,,,,,,,,,,,
SRR1456514,GTEX-13G51-3126-SM-5IJG7,SAMN02790412,Brain - Cerebellum,52901923,1784271,125521,,,,,,,,,,,,,,,,,,,,,
SRR1336548,GTEX-13IVO-0011-R10a-SM-5LZY3,SAMN02787743,Brain - Frontal Cortex (BA9),34779594,1129892,51242,,,,,,,,,,,,,,,,,,,,,
SRR1456903,GTEX-13IVO-0011-R11b-SM-5LZXQ,SAMN02790234,Brain - Cerebellar Hemisphere,40045414,1405737,54406,,,,,,,,,,,,,,,,,,,,,
SRR1378841,GTEX-13IVO-0011-R3b-SM-5IJBJ,SAMN02788065,Brain - Anterior cingulate cortex (BA24),44371873,951595,34859,,,,,,,,,,,,,,,,,,,,,
SRR1477615,GTEX-13IVO-0011-R5a-SM-5L3CY,SAMN02788017,Brain - Caudate (basal ganglia),51837675,765305,43957,,,,,,,,,,,,,,,,,,,,,
SRR1458810,GTEX-13IVO-0011-R6b-SM-5K7X9,SAMN02788267,Brain - Nucleus accumbens (basal ganglia),54134637,738687,70000,,,,,,,,,,,,,,,,,,,,,
SRR1429162,GTEX-13IVO-0011-R8a-SM-5L3DY,SAMN02788146,Brain - Hypothalamus,39015991,697710,38546,,,,,,,,,,,,,,,,,,,,,
SRR1413522,GTEX-13IVO-2926-SM-5L3CZ,SAMN02793376,Brain - Cortex,37777703,835508,43650,,,,,,,,,,,,,,,,,,,,,
SRR1457482,GTEX-13JUV-0011-R10b-SM-5LZXR,SAMN02790914,Brain - Frontal Cortex (BA9),38917655,1108924,49545,,,,,,,,,,,,,,,,,,,,,
SRR1362060,GTEX-13JUV-0011-R11a-SM-5LZYH,SAMN02789727,Brain - Cerebellar Hemisphere,37228151,1296218,53313,,,,,,,,,,,,,,,,,,,,,
SRR1318067,GTEX-13JUV-0011-R1a-SM-5LZY4,SAMN02790226,Brain - Hippocampus,40647203,1166412,50410,,,,,,,,,,,,,,,,,,,,,
SRR1472394,GTEX-13JUV-0011-R5a-SM-5LZY5,SAMN02791133,Brain - Caudate (basal ganglia),40523763,988967,44289,,,,,,,,,,,,,,,,,,,,,
SRR1470902,GTEX-13JUV-0011-R6b-SM-5LZYG,SAMN02790563,Brain - Nucleus accumbens (basal ganglia),33224769,1018591,42060,,,,,,,,,,,,,,,,,,,,,
SRR1358561,GTEX-13JUV-0011-R7b-SM-5LZZG,SAMN02790132,Brain - Putamen (basal ganglia),33940717,1021206,39370,,,,,,,,,,,,,,,,,,,,,
SRR1363992,GTEX-13JUV-0011-R9a-SM-5LZX3,SAMN02790693,Brain - Spinal cord (cervical c-1),42233749,1105445,48668,,,,,,,,,,,,,,,,,,,,,
SRR1341387,GTEX-13JUV-2926-SM-5LZX7,SAMN02789974,Brain - Cortex,36311967,1058613,43482,,,,,,,,,,,,,,,,,,,,,
SRR1352129,GTEX-13JUV-3026-SM-5K7WX,SAMN02789030,Brain - Cerebellum,36868379,807343,55478,,,,,,,,,,,,,,,,,,,,,
SRR1337412,GTEX-13JVG-0011-R10b-SM-5KM2P,SAMN02787736,Brain - Frontal Cortex (BA9),39428897,838365,56917,,,,,,,,,,,,,,,,,,,,,
SRR1393553,GTEX-13JVG-0011-R11a-SM-5KM53,SAMN02791445,Brain - Cerebellar Hemisphere,34000604,1003264,52654,,,,,,,,,,,,,,,,,,,,,
SRR1341898,GTEX-13JVG-0011-R1a-SM-5KM32,SAMN02791857,Brain - Hippocampus,44088862,893901,59345,,,,,,,,,,,,,,,,,,,,,
SRR1359171,GTEX-13JVG-0011-R3b-SM-5LZXF,SAMN02788764,Brain - Anterior cingulate cortex (BA24),37280930,953235,46573,,,,,,,,,,,,,,,,,,,,,
SRR1352706,GTEX-13JVG-0011-R4a-SM-5MR4C,SAMN02789474,Brain - Amygdala,39438750,604946,31163,,,,,,,,,,,,,,,,,,,,,
SRR1381757,GTEX-13JVG-0011-R5a-SM-5MR4O,SAMN02791910,Brain - Caudate (basal ganglia),40690817,779673,34121,,,,,,,,,,,,,,,,,,,,,
SRR1443895,GTEX-13JVG-0011-R6a-SM-5MR3E,SAMN02787870,Brain - Nucleus accumbens (basal ganglia),41453238,739361,33854,,,,,,,,,,,,,,,,,,,,,
SRR1491293,GTEX-13JVG-0011-R7b-SM-5MR3Q,SAMN02791556,Brain - Putamen (basal ganglia),49291068,799599,41298,,,,,,,,,,,,,,,,,,,,,
SRR1346670,GTEX-13JVG-0011-R8a-SM-5KM3E,SAMN02790016,Brain - Hypothalamus,35561604,863552,49072,,,,,,,,,,,,,,,,,,,,,
SRR1341702,GTEX-13JVG-3126-SM-5L3FH,SAMN02788258,Brain - Cortex,35816901,772164,39801,,,,,,,,,,,,,,,,,,,,,
SRR1466833,GTEX-13JVG-3226-SM-5IJGJ,SAMN02787950,Brain - Cerebellum,58848052,2032270,144802,,,,,,,,,,,,,,,,,,,,,
SRR1399779,GTEX-13N1W-0011-R10b-SM-5MR4H,SAMN02793183,Brain - Frontal Cortex (BA9),44777106,953567,41258,,,,,,,,,,,,,,,,,,,,,
SRR1383633,GTEX-13N1W-0011-R11a-SM-5MR3D,SAMN02788772,Brain - Cerebellar Hemisphere,56976189,1491879,55000,,,,,,,,,,,,,,,,,,,,,
SRR1479681,GTEX-13N1W-0011-R1b-SM-5MR4T,SAMN02791546,Brain - Hippocampus,40883663,861305,39127,,,,,,,,,,,,,,,,,,,,,
SRR1498272,GTEX-13N1W-0011-R3a-SM-5MR5E,SAMN02792702,Brain - Anterior cingulate cortex (BA24),58357986,1326698,52286,,,,,,,,,,,,,,,,,,,,,
SRR1489821,GTEX-13N1W-0011-R4a-SM-5MR52,SAMN02787395,Brain - Amygdala,42098255,1009299,38447,,,,,,,,,,,,,,,,,,,,,
SRR1370405,GTEX-13N1W-0011-R5b-SM-5MR5Q,SAMN02791635,Brain - Caudate (basal ganglia),47367587,1396119,45198,,,,,,,,,,,,,,,,,,,,,
SRR1444102,GTEX-13N1W-0011-R6a-SM-5MR43,SAMN02788007,Brain - Nucleus accumbens (basal ganglia),37581294,934744,32052,,,,,,,,,,,,,,,,,,,,,
SRR1388979,GTEX-13N1W-0011-R7b-SM-5MR4F,SAMN02787458,Brain - Putamen (basal ganglia),44693289,824384,37406,,,,,,,,,,,,,,,,,,,,,
SRR1315721,GTEX-13N1W-0011-R8a-SM-5MR56,SAMN02793050,Brain - Hypothalamus,47069706,1019543,42595,,,,,,,,,,,,,,,,,,,,,
SRR1402882,GTEX-13N1W-0011-R9b-SM-5MR4R,SAMN02790604,Brain - Spinal cord (cervical c-1),44739890,813860,39255,,,,,,,,,,,,,,,,,,,,,
SRR1331579,GTEX-13N2G-0011-R10a-SM-5MR34,SAMN02788668,Brain - Frontal Cortex (BA9),44863842,1030870,39624,,,,,,,,,,,,,,,,,,,,,
SRR1402473,GTEX-13N2G-0011-R11a-SM-5MR3F,SAMN02791652,Brain - Cerebellar Hemisphere,40729553,975464,40206,,,,,,,,,,,,,,,,,,,,,
SRR1432067,GTEX-13N2G-0011-R1b-SM-5MR3G,SAMN02790831,Brain - Hippocampus,46791992,894088,40178,,,,,,,,,,,,,,,,,,,,,
SRR1419148,GTEX-13N2G-0011-R2a-SM-5MR4Q,SAMN02789915,Brain - Substantia nigra,41293150,783380,33556,,,,,,,,,,,,,,,,,,,,,
SRR1466871,GTEX-13N2G-0011-R3b-SM-5MR5G,SAMN02788434,Brain - Anterior cingulate cortex (BA24),45846008,1143766,39189,,,,,,,,,,,,,,,,,,,,,
SRR1326366,GTEX-13N2G-0011-R4b-SM-5MR54,SAMN02793591,Brain - Amygdala,43677662,913145,40430,,,,,,,,,,,,,,,,,,,,,
SRR1410783,GTEX-13N2G-0011-R5a-SM-5MR33,SAMN02791870,Brain - Caudate (basal ganglia),50143147,1009259,43651,,,,,,,,,,,,,,,,,,,,,
SRR1445532,GTEX-13N2G-0011-R6b-SM-5MR3P,SAMN02787617,Brain - Nucleus accumbens (basal ganglia),44828506,980399,39668,,,,,,,,,,,,,,,,,,,,,
SRR1466975,GTEX-13N2G-0011-R7a-SM-5MR42,SAMN02788832,Brain - Putamen (basal ganglia),44394045,928453,40504,,,,,,,,,,,,,,,,,,,,,
SRR1413768,GTEX-13N2G-0011-R9b-SM-5MR4E,SAMN02790865,Brain - Spinal cord (cervical c-1),47190904,924596,41271,,,,,,,,,,,,,,,,,,,,,
SRR1478096,GTEX-13N2G-3126-SM-5IJGL,SAMN02789390,Brain - Cerebellum,58796606,1838713,133409,,,,,,,,,,,,,,,,,,,,,
SRR1414897,GTEX-13NYB-0011-R10a-SM-5KM43,SAMN02789158,Brain - Frontal Cortex (BA9),40804967,890380,53088,,,,,,,,,,,,,,,,,,,,,
SRR1445328,GTEX-13NYB-0011-R11a-SM-5KM3Q,SAMN02787873,Brain - Cerebellar Hemisphere,40889550,1193796,62128,,,,,,,,,,,,,,,,,,,,,
SRR1380680,GTEX-13NYB-0011-R1b-SM-5KM4F,SAMN02792894,Brain - Hippocampus,32961938,707688,43300,,,,,,,,,,,,,,,,,,,,,
SRR1415337,GTEX-13NYB-0011-R2a-SM-5MR3C,SAMN02792707,Brain - Substantia nigra,54716609,1008339,45349,,,,,,,,,,,,,,,,,,,,,
SRR1403222,GTEX-13NYB-0011-R5a-SM-5MR45,SAMN02790961,Brain - Caudate (basal ganglia),46331389,846487,41491,,,,,,,,,,,,,,,,,,,,,
SRR1445408,GTEX-13NYB-0011-R6b-SM-5MR51,SAMN02790675,Brain - Nucleus accumbens (basal ganglia),47696975,919353,42115,,,,,,,,,,,,,,,,,,,,,
SRR1431717,GTEX-13NYB-0011-R7a-SM-5MR5D,SAMN02792069,Brain - Putamen (basal ganglia),43223612,895343,36493,,,,,,,,,,,,,,,,,,,,,
SRR1401276,GTEX-13NYB-0011-R8a-SM-5KM4R,SAMN02791414,Brain - Hypothalamus,41837155,908603,56230,,,,,,,,,,,,,,,,,,,,,
SRR1470212,GTEX-13NYB-0011-R9b-SM-5MR5P,SAMN02789004,Brain - Spinal cord (cervical c-1),45785631,1054825,41726,,,,,,,,,,,,,,,,,,,,,
SRR1337564,GTEX-13NYB-3026-SM-5IJD7,SAMN02790121,Brain - Cortex,46518470,982643,44847,,,,,,,,,,,,,,,,,,,,,
SRR1434803,GTEX-13NYB-3226-SM-5J2ND,SAMN02787377,Brain - Cerebellum,39700693,1253441,75169,,,,,,,,,,,,,,,,,,,,,
SRR1489137,GTEX-13NYC-2826-SM-5K7WR,SAMN02793164,Brain - Cortex,46345896,786447,59823,,,,,,,,,,,,,,,,,,,,,
SRR1454803,GTEX-13NYS-0011-R10a-SM-5MR4S,SAMN02793108,Brain - Frontal Cortex (BA9),39254571,749112,37262,,,,,,,,,,,,,,,,,,,,,
SRR1408285,GTEX-13NYS-0011-R11b-SM-5MR4P,SAMN02788856,Brain - Cerebellar Hemisphere,42867624,1509802,47681,,,,,,,,,,,,,,,,,,,,,
SRR1440356,GTEX-13NYS-0011-R1b-SM-5MR55,SAMN02789109,Brain - Hippocampus,38673120,783230,33180,,,,,,,,,,,,,,,,,,,,,
SRR1374414,GTEX-13NYS-0011-R2b-SM-5MR4G,SAMN02788162,Brain - Substantia nigra,42473404,772204,35060,,,,,,,,,,,,,,,,,,,,,
SRR1399051,GTEX-13NYS-0011-R3b-SM-5MR41,SAMN02790361,Brain - Anterior cingulate cortex (BA24),46012881,797079,37379,,,,,,,,,,,,,,,,,,,,,
SRR1355595,GTEX-13NYS-0011-R4b-SM-5MR3O,SAMN02791678,Brain - Amygdala,61133759,986940,46567,,,,,,,,,,,,,,,,,,,,,
SRR1320560,GTEX-13NYS-0011-R5a-SM-5MR4D,SAMN02792846,Brain - Caudate (basal ganglia),42121487,803360,34719,,,,,,,,,,,,,,,,,,,,,
SRR1486608,GTEX-13NYS-0011-R6b-SM-5MR3R,SAMN02788383,Brain - Nucleus accumbens (basal ganglia),40955844,794825,35305,,,,,,,,,,,,,,,,,,,,,
SRR1488349,GTEX-13NYS-0011-R8a-SM-5MR5H,SAMN02793397,Brain - Hypothalamus,42833746,740943,35657,,,,,,,,,,,,,,,,,,,,,
SRR1445514,GTEX-13NYS-0011-R9b-SM-5MR44,SAMN02792779,Brain - Spinal cord (cervical c-1),39669011,764965,33683,,,,,,,,,,,,,,,,,,,,,
SRR1414595,GTEX-13NYS-3126-SM-5KLYV,SAMN02789484,Brain - Cortex,53392702,1230449,83599,,,,,,,,,,,,,,,,,,,,,
SRR1389218,GTEX-13NZ8-0011-R1b-SM-5KM3V,SAMN02791221,Brain - Hippocampus,50735555,911588,55969,,,,,,,,,,,,,,,,,,,,,
SRR1330656,GTEX-13NZ8-0011-R8b-SM-5KM48,SAMN02788136,Brain - Hypothalamus,46060887,842932,54644,,,,,,,,,,,,,,,,,,,,,
SRR1335856,GTEX-13NZ8-3026-SM-5L3D4,SAMN02790069,Brain - Cerebellum,39135695,973283,49485,,,,,,,,,,,,,,,,,,,,,
SRR1416754,GTEX-13NZA-0011-R10b-SM-5KM54,SAMN02791238,Brain - Frontal Cortex (BA9),46390830,969996,56573,,,,,,,,,,,,,,,,,,,,,
SRR1457418,GTEX-13NZA-0011-R11b-SM-5KM4W,SAMN02789330,Brain - Cerebellar Hemisphere,43949726,1227468,59881,1,1,1,1,1,1,,,,,,,,,,,,,,,
SRR1335047,GTEX-13NZA-0011-R1b-SM-5LUAF,SAMN02788022,Brain - Hippocampus,32916431,806456,30010,,,,,,,,,,,,,,,,,,,,,
SRR1375616,GTEX-13NZA-0011-R5b-SM-5KM4K,SAMN02792510,Brain - Caudate (basal ganglia),41418494,722811,42538,,,,,,,,,,,,,,,,,,,,,
SRR1446892,GTEX-13NZA-0011-R8b-SM-5KM2Q,SAMN02793578,Brain - Hypothalamus,42825462,926227,55419,,,,,,,,,,,,,,,,,,,,,
SRR1368856,GTEX-13NZA-0011-R9b-SM-5MR5I,SAMN02791140,Brain - Spinal cord (cervical c-1),42378727,805247,36430,,,,,,,,,,,,,,,,,,,,,
SRR1370173,GTEX-13O1R-0011-R9b-SM-5KM33,SAMN02793542,Brain - Spinal cord (cervical c-1),41312425,706877,49453,,,,,,,,,,,,,,,,,,,,,
SRR1437538,GTEX-13O3O-0011-R10a-SM-5LUA9,SAMN02793264,Brain - Frontal Cortex (BA9),37962530,1138830,44453,,,,,,,,,,,,,,,,,,,,,
SRR1387072,GTEX-13O3O-0011-R11b-SM-5KM4G,SAMN02792990,Brain - Cerebellar Hemisphere,41360496,1056998,59256,,,,,,,,,,,,,,,,,,,,,
SRR1398411,GTEX-13O3O-0011-R1b-SM-5KM2K,SAMN02788974,Brain - Hippocampus,38649120,846730,51688,,,,,,,,,,,,,,,,,,,,,
SRR1479779,GTEX-13O3O-0011-R2b-SM-5P9H1,SAMN02790867,Brain - Substantia nigra,57367352,1278534,69138,,,,,,,,,,,,,,,,,,,,,
SRR1480365,GTEX-13O3O-0011-R3b-SM-5KM3R,SAMN02788158,Brain - Anterior cingulate cortex (BA24),39166274,775438,52346,,,,,,,,,,,,,,,,,,,,,
SRR1418818,GTEX-13O3O-0011-R4b-SM-5KM3F,SAMN02789411,Brain - Amygdala,39347275,751275,48396,1,1,1,1,1,1,,,,,,,,,,,,,,,
SRR1358183,GTEX-13O3O-0011-R5b-SM-5KM44,SAMN02789973,Brain - Caudate (basal ganglia),46807600,993112,61611,,,,,,,,,,,,,,,,,,,,,
SRR1396123,GTEX-13O3O-0011-R6b-SM-5P9GY,SAMN02792880,Brain - Nucleus accumbens (basal ganglia),59255569,1481598,75036,,,,,,1,,,,,,,,,,,,,,,
SRR1420215,GTEX-13O3O-0011-R7b-SM-5P9GZ,SAMN02791370,Brain - Putamen (basal ganglia),60716331,1326337,69789,,,,,,,,,,,,,,,,,,,,,
SRR1325927,GTEX-13O3O-0011-R8b-SM-5LUAL,SAMN02788752,Brain - Hypothalamus,39212820,1105979,42620,,,,,,,,,,,,,,,,,,,,,
SRR1394799,GTEX-13O3O-3026-SM-5KM42,SAMN02791736,Brain - Cerebellum,44030269,1184491,65022,,,,,,,,,,,,,,,,,,,,,
SRR1320280,GTEX-13O3O-3126-SM-5KM3H,SAMN02788486,Brain - Cortex,37605446,718492,47638,,,,,,,,,,,,,,,,,,,,,
SRR1408208,GTEX-13O3Q-0011-R10b-SM-5KM39,SAMN02790153,Brain - Frontal Cortex (BA9),50821307,1010865,65546,,,,,,,,,,,,,,,,,,,,,
SRR1406917,GTEX-13O3Q-0011-R11b-SM-5KM2W,SAMN02790952,Brain - Cerebellar Hemisphere,47529921,1403772,71915,,,,,,,,,,,,,,,,,,,,,
SRR1349013,GTEX-13O3Q-0011-R1b-SM-5KM3L,SAMN02791159,Brain - Hippocampus,81317976,1764384,114890,,,,,,,,,,,,,,,,,,,,,
SRR1413959,GTEX-13O3Q-0011-R2b-SM-5KM3K,SAMN02788677,Brain - Substantia nigra,42277763,823314,52549,,,,,,,,,,,,,,,,,,,,,
SRR1350456,GTEX-13O3Q-0011-R3a-SM-5P9H3,SAMN02793601,Brain - Anterior cingulate cortex (BA24),116012307,2506439,134108,,,,,,,,,,,,,,,,,,,,,
SRR1409282,GTEX-13O3Q-0011-R4a-SM-5P9H2,SAMN02789506,Brain - Amygdala,53074044,1692634,68058,,,,,,,,,,,,,,,,,,,,,
SRR1329377,GTEX-13O3Q-0011-R5b-SM-5P9H4,SAMN02788070,Brain - Caudate (basal ganglia),71010326,1651173,83006,,,,,,,,,,,,,,,,,,,,,
SRR1353157,GTEX-13O3Q-0011-R6a-SM-5KM2V,SAMN02792025,Brain - Nucleus accumbens (basal ganglia),39241495,811134,50322,,,,,,,,,,,,,,,,,,,,,
SRR1313932,GTEX-13O3Q-0011-R7a-SM-5KM38,SAMN02793595,Brain - Putamen (basal ganglia),36605835,717543,45460,,,,,,,,,,,,,,,,,,,,,
SRR1317596,GTEX-13O3Q-0011-R8b-SM-5KM2J,SAMN02787825,Brain - Hypothalamus,50298380,985360,63909,,,,,,,,,,,,,,,,,,,,,
SRR1324371,GTEX-13O3Q-2926-SM-5KM45,SAMN02791498,Brain - Cortex,38210100,767916,48508,,,,,,,,,,,,,,,,,,,,,
SRR1419675,GTEX-13O3Q-3026-SM-5IJGD,SAMN02793303,Brain - Cerebellum,51700073,1718691,120424,,,,,,,,,,,,,,,,,,,,,
SRR1403915,GTEX-13OVH-0011-R11b-SM-5KM4X,SAMN02788472,Brain - Cerebellar Hemisphere,42548547,1201094,61653,,,,,,,,,,,,,,,,,,,,,
SRR1487321,GTEX-13OVH-0011-R3a-SM-5KM49,SAMN02792126,Brain - Anterior cingulate cortex (BA24),33372479,660521,40789,,,,,,,,,,,,,,,,,,,,,
SRR1448226,GTEX-13OVH-0011-R4a-SM-5KM3W,SAMN02789113,Brain - Amygdala,39092704,716655,45973,,,,,,,,,,,,,,,,,,,,,
SRR1340202,GTEX-13OVH-0011-R5b-SM-5KM4L,SAMN02789307,Brain - Caudate (basal ganglia),40228137,833122,49671,,,,,,,,,,,,,,,,,,,,,
SRR1444876,GTEX-13OVH-0011-R6b-SM-5LUAX,SAMN02793246,Brain - Nucleus accumbens (basal ganglia),34077802,1017441,38368,,,,,,,,,,,,,,,,,,,,,
SRR1316535,GTEX-13OVH-0011-R8b-SM-5MR35,SAMN02790869,Brain - Hypothalamus,52219757,1113703,48384,,,,,,,,,,,,,,,,,,,,,
SRR1456531,GTEX-13OVH-2926-SM-5IJFH,SAMN02787794,Brain - Cerebellum,48627877,1676823,120466,,,,,,,,,,,,,,,,,,,,,
SRR1323746,GTEX-13OVH-3026-SM-5MR4N,SAMN02791321,Brain - Cortex,44072414,803202,38796,,,,,,,,,,,,,,,,,,,,,
SRR1487685,GTEX-13OVJ-0011-R10b-SM-5L3HT,SAMN02793224,Brain - Frontal Cortex (BA9),36007055,773026,33008,,,,,,1,,,,,,,,,,,,,,,
SRR1478294,GTEX-13OVJ-0011-R11a-SM-5P9H8,SAMN02787300,Brain - Cerebellar Hemisphere,59889214,2269185,95452,,,,,,,,,,,,,,,,,,,,,
SRR1323196,GTEX-13OVJ-0011-R1b-SM-5L3I6,SAMN02787930,Brain - Hippocampus,37072415,798989,33320,,,,,,,,,,,,,,,,,,,,,
SRR1335688,GTEX-13OVJ-0011-R2b-SM-5L3GP,SAMN02792179,Brain - Substantia nigra,36795610,689674,30504,,,,,,,,,,,,,,,,,,,,,
SRR1480652,GTEX-13OVJ-0011-R3b-SM-5P9H6,SAMN02790175,Brain - Anterior cingulate cortex (BA24),60226954,1335410,79741,,,,,,,,,,,,,,,,,,,,,
SRR1473936,GTEX-13OVJ-0011-R4b-SM-5P9H5,SAMN02788475,Brain - Amygdala,66645153,1587455,84923,,,,,,,,,,,,,,,,,,,,,
SRR1331597,GTEX-13OVJ-0011-R5a-SM-5P9H7,SAMN02792674,Brain - Caudate (basal ganglia),58391808,1382544,73830,,,,,,,,,,,,,,,,,,,,,
SRR1471903,GTEX-13OVJ-0011-R6b-SM-5L3GH,SAMN02790340,Brain - Nucleus accumbens (basal ganglia),39861859,920784,35469,,,,,,,,,,,,,,,,,,,,,
SRR1407315,GTEX-13OVJ-0011-R7a-SM-5L3G1,SAMN02787480,Brain - Putamen (basal ganglia),41874160,932471,35926,18,18,18,18,18,41,,,,,,,,,,,,,,,
SRR1347688,GTEX-13OVJ-0011-R8b-SM-5L3FS,SAMN02790437,Brain - Hypothalamus,41884880,788746,34427,,,,,,1,,,,,,,,,,,,,,,
SRR1383018,GTEX-13OVJ-0011-R9b-SM-5L3GD,SAMN02790167,Brain - Spinal cord (cervical c-1),46125515,881988,40546,,,,,,,,,,,,,,,,,,,,,
SRR1362183,GTEX-13OVJ-2726-SM-5IJG6,SAMN02792576,Brain - Cerebellum,52967311,1947364,132217,,,,,,,,,,,,,,,,,,,,,
SRR1328487,GTEX-13OVJ-2826-SM-5L3GW,SAMN02788545,Brain - Cortex,35907266,686867,32190,,,,,,,,,,,,,,,,,,,,,
